NUMBER LOVE_H LOVE_L LOVE_K
1 -0.285722662 0.10360397 0
2 -0.9909261318 0.023311107 -0.30517918
3 -1.050115705 0.069919912 -0.19586958
4 -1.052811659 0.058696622 -0.13353056
5 -1.085768313 0.046189909 -0.10457089
6 -1.143309064 0.038611139 -0.090189619
7 -1.211839063 0.034223107 -0.081911387
8 -1.283347798 0.031499705 -0.076383834
9 -1.354108292 0.029649733 -0.072255057
10 -1.422624844 0.028299983 -0.068939194
11 -1.488404233 0.027268998 -0.066153157
12 -1.551353075 0.026458492 -0.063741455
13 -1.611515697 0.02580744 -0.061608018
14 -1.668972791 0.025273536 -0.059688164
15 -1.723808292 0.024825552 -0.057935955
16 -1.776102141 0.024439849 -0.056317761
17 -1.825931296 0.02409845 -0.054808541
18 -1.873372368 0.023787777 -0.05338946
19 -1.918503768 0.023497694 -0.052046252
20 -1.9614069 0.023220762 -0.050768057
21 -2.00216652 0.022951636 -0.049546558
22 -2.040870476 0.022686582 -0.048375347
23 -2.077609076 0.022423091 -0.047249451
24 -2.112474242 0.022159576 -0.046164966
25 -2.145558593 0.02189513 -0.045118797
26 -2.176954537 0.021629342 -0.044108446
27 -2.206753434 0.021362149 -0.043131864
28 -2.235044861 0.02109373 -0.042187333
29 -2.26191599 0.020824418 -0.041273384
30 -2.287451094 0.020554642 -0.040388728
31 -2.311731159 0.020284879 -0.039532212
32 -2.334833617 0.020015621 -0.038702785
33 -2.356832164 0.019747352 -0.037899472
34 -2.377796663 0.019480535 -0.037121354
35 -2.397793119 0.019215596 -0.036367558
36 -2.41688371 0.018952925 -0.035637247
37 -2.435126861 0.018692868 -0.034929616
38 -2.452577351 0.018435729 -0.034243883
39 -2.469286452 0.018181771 -0.033579293
40 -2.485302083 0.017931217 -0.03293511
41 -2.500668971 0.017684251 -0.03231062
42 -2.515428828 0.017441025 -0.031705132
43 -2.529620521 0.017201659 -0.031117972
44 -2.543280249 0.016966243 -0.030548488
45 -2.556441713 0.016734845 -0.029996047
46 -2.569136277 0.016507509 -0.029460038
47 -2.581393132 0.016284258 -0.02893987
48 -2.593239447 0.016065101 -0.028434969
49 -2.604700506 0.015850031 -0.027944785
50 -2.615799852 0.015639026 -0.027468785
51 -2.626559407 0.015432057 -0.027006457
52 -2.636999595 0.015229083 -0.026557306
53 -2.647139449 0.015030057 -0.026120857
54 -2.656996719 0.014834925 -0.025696653
55 -2.666587961 0.014643627 -0.025284255
56 -2.675928631 0.0144561 -0.02488324
57 -2.685033163 0.014272277 -0.024493204
58 -2.693915049 0.014092088 -0.024113756
59 -2.702586904 0.013915463 -0.023744523
60 -2.711060534 0.013742329 -0.023385147
61 -2.719346993 0.013572613 -0.023035282
62 -2.727456638 0.01340624 -0.0226946
63 -2.735399184 0.013243138 -0.022362782
64 -2.743183743 0.013083232 -0.022039525
65 -2.750818873 0.012926451 -0.021724537
66 -2.758312612 0.012772721 -0.021417539
67 -2.765672521 0.012621972 -0.021118262
68 -2.77290571 0.012474133 -0.020826448
69 -2.780018875 0.012329136 -0.020541849
70 -2.787018323 0.012186913 -0.020264229
71 -2.793909999 0.012047397 -0.01999336
72 -2.80069951 0.011910525 -0.019729023
73 -2.807392149 0.011776232 -0.019471008
74 -2.813992911 0.011644457 -0.019219112
75 -2.820506518 0.011515139 -0.018973143
76 -2.826937433 0.01138822 -0.018732914
77 -2.833289876 0.011263641 -0.018498245
78 -2.83956784 0.011141348 -0.018268965
79 -2.845775107 0.011021285 -0.018044908
80 -2.851915256 0.010903401 -0.017825915
81 -2.85799168 0.010787642 -0.017611832
82 -2.864007594 0.010673959 -0.017402512
83 -2.869966046 0.010562304 -0.017197814
84 -2.875869928 0.010452629 -0.0169976
85 -2.881721984 0.010344887 -0.016801739
86 -2.887524818 0.010239034 -0.016610104
87 -2.8932809 0.010135026 -0.016422573
88 -2.898992579 0.010032822 -0.016239028
89 -2.904662085 0.0099323789 -0.016059355
90 -2.910291534 0.0098336575 -0.015883446
91 -2.91588294 0.0097366189 -0.015711193
92 -2.921438215 0.009641225 -0.015542496
93 -2.926959178 0.0095474391 -0.015377256
94 -2.932447557 0.0094552253 -0.015215378
95 -2.937904995 0.0093645487 -0.01505677
96 -2.943333054 0.0092753755 -0.014901343
97 -2.94873322 0.0091876727 -0.014749013
98 -2.954106907 0.0091014082 -0.014599695
99 -2.959455457 0.0090165507 -0.014453311
100 -2.96478015 0.0089330699 -0.014309783
101 -2.970082202 0.0088509363 -0.014169035
102 -2.975362767 0.0087701209 -0.014030997
103 -2.980622948 0.0086905958 -0.013895597
104 -2.985863789 0.0086123337 -0.013762767
105 -2.991086285 0.0085353081 -0.013632444
106 -2.996291384 0.008459493 -0.013504562
107 -3.001479985 0.0083848632 -0.01337906
108 -3.006652944 0.0083113941 -0.013255879
109 -3.011811075 0.0082390619 -0.013134962
110 -3.016955153 0.0081678432 -0.013016251
111 -3.022085914 0.0080977153 -0.012899694
112 -3.027204056 0.008028656 -0.012785237
113 -3.032310247 0.0079606437 -0.012672829
114 -3.037405117 0.0078936575 -0.012562422
115 -3.042489268 0.0078276767 -0.012453966
116 -3.047563272 0.0077626814 -0.012347417
117 -3.05262767 0.007698652 -0.012242728
118 -3.057682979 0.0076355695 -0.012139856
119 -3.062729688 0.0075734154 -0.012038758
120 -3.067768263 0.0075121715 -0.011939393
121 -3.072799146 0.0074518202 -0.011841721
122 -3.077822755 0.0073923441 -0.011745703
123 -3.08283949 0.0073337265 -0.011651302
124 -3.087849728 0.007275951 -0.01155848
125 -3.092853827 0.0072190015 -0.011467202
126 -3.097852128 0.0071628624 -0.011377433
127 -3.102844954 0.0071075184 -0.01128914
128 -3.107832611 0.0070529546 -0.011202289
129 -3.112815388 0.0069991564 -0.01111685
130 -3.117793561 0.0069461096 -0.01103279
131 -3.12276739 0.0068938003 -0.01095008
132 -3.127737123 0.006842215 -0.010868691
133 -3.132702991 0.0067913404 -0.010788593
134 -3.137665218 0.0067411635 -0.01070976
135 -3.142624012 0.0066916718 -0.010632164
136 -3.147579571 0.0066428528 -0.010555779
137 -3.152532083 0.0065946945 -0.01048058
138 -3.157481724 0.0065471851 -0.01040654
139 -3.162428662 0.006500313 -0.010333637
140 -3.167373054 0.0064540671 -0.010261847
141 -3.17231505 0.0064084362 -0.010191146
142 -3.17725479 0.0063634096 -0.010121512
143 -3.182192407 0.0063189768 -0.010052924
144 -3.187128026 0.0062751275 -0.0099853599
145 -3.192061764 0.0062318516 -0.009918799
146 -3.196993732 0.0061891393 -0.0098532213
147 -3.201924034 0.0061469809 -0.009788607
148 -3.206852768 0.0061053671 -0.0097249369
149 -3.211780026 0.0060642886 -0.0096621924
150 -3.216705894 0.0060237364 -0.0096003551
151 -3.221630453 0.0059837016 -0.0095394073
152 -3.226553778 0.0059441758 -0.0094793316
153 -3.23147594 0.0059051503 -0.009420111
154 -3.236397004 0.0058666171 -0.009361729
155 -3.241317033 0.0058285679 -0.0093041696
156 -3.246236083 0.0057909949 -0.0092474169
157 -3.251154208 0.0057538903 -0.0091914556
158 -3.256071456 0.0057172465 -0.0091362708
159 -3.260987875 0.0056810561 -0.0090818476
160 -3.265903505 0.0056453119 -0.009028172
161 -3.270818386 0.0056100067 -0.0089752299
162 -3.275732553 0.0055751336 -0.0089230077
163 -3.280646039 0.0055406857 -0.0088714921
164 -3.285558874 0.0055066563 -0.0088206701
165 -3.290471085 0.0054730389 -0.008770529
166 -3.295382696 0.0054398271 -0.0087210563
167 -3.30029373 0.0054070145 -0.0086722401
168 -3.305204205 0.005374595 -0.0086240683
169 -3.310114139 0.0053425626 -0.0085765295
170 -3.315023548 0.0053109114 -0.0085296123
171 -3.319932444 0.0052796355 -0.0084833056
172 -3.324840839 0.0052487292 -0.0084375987
173 -3.329748742 0.005218187 -0.008392481
174 -3.33465616 0.0051880035 -0.0083479421
175 -3.3395631 0.0051581732 -0.0083039719
176 -3.344469565 0.0051286909 -0.0082605605
177 -3.349375559 0.0050995515 -0.0082176982
178 -3.354281082 0.0050707498 -0.0081753757
179 -3.359186135 0.005042281 -0.0081335836
180 -3.364090715 0.0050141401 -0.0080923128
181 -3.368994821 0.0049863225 -0.0080515545
182 -3.373898447 0.0049588233 -0.0080113001
183 -3.37880159 0.0049316381 -0.0079715409
184 -3.383704242 0.0049047622 -0.0079322688
185 -3.388606396 0.0048781914 -0.0078934756
186 -3.393508045 0.0048519212 -0.0078551532
187 -3.398409178 0.0048259473 -0.007817294
188 -3.403309786 0.0048002657 -0.0077798902
189 -3.408209857 0.0047748721 -0.0077429344
190 -3.41310938 0.0047497626 -0.0077064193
191 -3.418008341 0.0047249332 -0.0076703376
192 -3.422906728 0.00470038 -0.0076346824
193 -3.427804525 0.0046760991 -0.0075994468
194 -3.432701719 0.0046520869 -0.007564624
195 -3.437598294 0.0046283396 -0.0075302073
196 -3.442494232 0.0046048536 -0.0074961904
197 -3.447389518 0.0045816253 -0.0074625668
198 -3.452284135 0.0045586513 -0.0074293304
199 -3.457178063 0.0045359282 -0.007396475
200 -3.462071284 0.0045134524 -0.0073639947
201 -3.466963781 0.0044912208 -0.0073318835
202 -3.471855532 0.0044692301 -0.0073001358
203 -3.476746518 0.0044474771 -0.0072687459
204 -3.481636719 0.0044259585 -0.0072377083
205 -3.486526113 0.0044046713 -0.0072070175
206 -3.49141468 0.0043836126 -0.0071766682
207 -3.496302398 0.0043627791 -0.0071466553
208 -3.501189244 0.0043421681 -0.0071169736
209 -3.506075197 0.0043217767 -0.007087618
210 -3.510960234 0.0043016019 -0.0070585837
211 -3.515844332 0.0042816409 -0.0070298658
212 -3.520727466 0.0042618911 -0.0070014596
213 -3.525609615 0.0042423497 -0.0069733604
214 -3.530490753 0.0042230141 -0.0069455636
215 -3.535370857 0.0042038815 -0.0069180649
216 -3.540249901 0.0041849495 -0.0068908597
217 -3.545127863 0.0041662154 -0.0068639437
218 -3.550004715 0.0041476768 -0.0068373128
219 -3.554880434 0.0041293313 -0.0068109627
220 -3.559754994 0.0041111763 -0.0067848893
221 -3.564628369 0.0040932096 -0.0067590887
222 -3.569500534 0.0040754287 -0.0067335569
223 -3.574371462 0.0040578313 -0.00670829
224 -3.579241127 0.0040404153 -0.0066832842
225 -3.584109504 0.0040231782 -0.0066585358
226 -3.588976565 0.004006118 -0.0066340412
227 -3.593842284 0.0039892324 -0.0066097966
228 -3.598706635 0.0039725194 -0.0065857986
